# DF COMPASS 파리티 원장 정본 — 감리자 생성 20260816, v1 HEAD↔v2 233cef2
# 처분 어휘: PORTED/SEMANTIC/EXCLUDED/IMPLEMENT/PENDING (게이트 정합) · 전 필드 단일행 보장
layer,src,item,disposition,basis
UI,app.py:1,DF COMPASS · 임직원용 Streamlit 프론트엔드 (PoC).,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:59,법인카드를 개인 용도로 사용해도 되나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:60,거래처에서 선물을 받아도 되나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:61,직장 내에서 괴롭힘을 당했어요. 어떻게 신고하나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:62,신세계그룹의 핵심 가치 CREDO는 무엇인가요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:63,고객이 매장에 두고 간 물건은 어떻게 처리하나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:64,협력회사에 부당하게 비용을 요구하면 어떤 처벌을 받나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:65,매장 안전관리 책임자와 절차는 어떻게 되나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:66,회사의 녹색 구매 기준은 어떻게 되나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:210,⚠️ DB schema 불일치 (운영자 확인 필요):\n,EXCLUDED,[DECIDED-OUT] 운영자 진단 — admin 소관
UI,app.py:238,ADMIN_PASSWORD secret을 설정하면 관리자 기능이 활성화됩니다.,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:250,비밀번호가 틀렸습니다.,EXCLUDED,[DECIDED-OUT] admin — ADR-8 후
UI,app.py:260,▶ Admin 대시보드 열기,PORTED,동일 문자열
UI,app.py:279,ℹ️ DF COMPASS 안내,PORTED,동일 문자열
UI,app.py:285,COMPASS(나침반),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:290,"<p class=""nx-sidebar-label"">질의 범위</p>",PORTED,동일 문자열
UI,app.py:302,본 답변은 사규 해석 보조 도구이며 법적 효력은 없습니다.<br>,PORTED,동일 문자열
UI,app.py:303,"신고·조사 사항은 CSR팀 또는 신세계면세점 핫라인으로,<br>",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:304,인사 규정·복리후생 등 인사 행정 사항은 인사교육팀으로 문의해 주시기 바랍니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:316,신세계면세점 핫라인 제보하기,PORTED,동일 문자열
UI,app.py:340,[다시 답변 요청] 이전 답변과 다른 관점·다른 근거 사규·다른 측면을,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:341,"강조하여 답변해주세요. 단, 사실관계는 정확해야 합니다.\n\n원 질문:",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:355,ask_stream 의 (,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:508,🛡️ 베타 환경입니다. 입력하신 내용은 모델 학습에 사용되지 않습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:509,"<span style=""color:#888;"">자세한 안내는 좌측 사이드바 참조.</span>",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:556,⏹ 생성 중지 버튼 on_click — 진행 중 질문 취소 플래그. main() 상단이 처리.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:566,답변 생성. reroll_of={,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:612,⚠️ 오늘 질의 한도({s.daily_query_limit}회)를 초과했습니다.,SEMANTIC,[PORTED-EQUIV] 유사 대응(100%): ⚠️ 오늘 질의 한도({limit}회)를 초과했습니다.
UI,app.py:613,베타 비용 가드 정책입니다. 내일 다시 이용해 주세요.,PORTED,동일 문자열
UI,app.py:655,🔄 같은 질문에 다른 관점에서 답변 (1회 한정) — 이전 답변은 위에 그대로 유지,EXCLUDED,[DECIDED-OUT] reroll — v2 재실행 대체(매트릭스)
UI,app.py:657,🔗 관련 추가 질문 모드 — 이전 답변과 연결됩니다,EXCLUDED,[DECIDED-OUT] 의결 4항 백로그
UI,app.py:748,진행 중...,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:753,⏹ 생성 중지,PORTED,동일 문자열
UI,app.py:766,관련 사규 탐색 중…,PORTED,동일 문자열
UI,app.py:766,근거 조항 분석 · 판정 생성,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:773,질문 분석 중…,PORTED,동일 문자열
UI,app.py:773,핵심 쟁점·도메인 파악,PORTED,동일 문자열
UI,app.py:778,근거 조항 검색,PORTED,동일 문자열
UI,app.py:788,💡 다음 사규 용어로 검색했습니다: {_subs_text},PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:792,{_matched}개 사규 매칭 · 의미 재정렬,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:799,답변 작성 중…,PORTED,동일 문자열
UI,app.py:799,검색 결과 없음 — 답변에 한계가 있을 수 있어요,PORTED,동일 문자열
UI,app.py:813,외 {more}건,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:815,근거 사규: {title_str},PORTED,동일 문자열
UI,app.py:832,🏛️ 답변 생성 + 검증 중... (약 30~60초 소요),PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:833,auto_classify → retrieve → 검증 중...,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:835,✅ 검증 완료,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:873,⚠ 답변 생성은 완료되었으나 출력이 비어있습니다 (md_len={_rf_md_len}). 다시 시도하거나 관리자에게 문의하세요.,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:880,✅ 검증 완료 (score {_s:.0f}/100),EXCLUDED,[DECIDED-OUT] 구 score 표면 — 구조심의 폐기
UI,app.py:882,⚠️ 검증 결과 주의 (score {_s:.0f}/100),EXCLUDED,[DECIDED-OUT] 구 score 표면 — 구조심의 폐기
UI,app.py:884,❌ 답변 신뢰도 부족 (score {_s:.0f}/100),EXCLUDED,[DECIDED-OUT] 구 score 표면 — 구조심의 폐기
UI,app.py:886,🔥 검증 시스템 오류,EXCLUDED,[DECIDED-OUT] 구 X-mode — g02 대체
UI,app.py:898,🔬 상세 검증 정보,EXCLUDED,[DECIDED-OUT] 구 X-mode — 구조심의 폐기
UI,app.py:899,(⏱️ 전체 {xres.elapsed_total_ms}ms / Gemini {xres.elapsed_gemini_ms}ms /,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:972,🔄 답변 생성 + 검증 중... (약 30~60초 소요),PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:973,Gemini 답변 생성 중...,SEMANTIC,[PORTED-EQUIV] 유사 대응(50%): v1 app.py:756-763 THINKING 스피너 — cycle=True 는 답변 작
UI,app.py:982,✅ 검증 완료 (score {verified.score:.0f}/100),EXCLUDED,[DECIDED-OUT] 구 score 표면 — 구조심의 폐기
UI,app.py:986,⚠️ 검증 결과 주의 (score {verified.score:.0f}/100),EXCLUDED,[DECIDED-OUT] 구 score 표면 — 구조심의 폐기
UI,app.py:989,❌ 검증 실패 — 관할 부서 확인 권장,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:991,🔥 검증 시스템 오류 — 답변 사용 시 주의,EXCLUDED,[DECIDED-OUT] 구 X-mode — g02 대체
UI,app.py:994,🔬 상세 검증 결과,EXCLUDED,[DECIDED-OUT] 구 X-mode — 구조심의 폐기
UI,app.py:997,전체 {verified.elapsed_total_ms}ms),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1098,⚠️ 데이터베이스의 검색 함수 버전이 코드와 일치하지 않습니다.\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1099,관리자에게 다음 SQL 마이그레이션 실행을 요청해 주세요:\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1100,`db/02_hybrid_search.sql` 최신 버전 재실행,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1104,⚠️ 데이터베이스의 검색 함수가 설치되지 않았습니다.\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1105,관리자에게 `db/02_hybrid_search.sql` 실행을 요청해 주세요.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1107,검색 결과 없음,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1109,ℹ️ 아직 사규·사례 등 문서가 업로드되지 않았습니다.\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1110,관리자가 문서를 적재한 뒤 다시 시도해 주세요.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1118,⏳ Gemini 모델이 일시적으로 트래픽 폭주 상태입니다 (HTTP 503 / 429).\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1119,**잠시 후 같은 질문을 다시 시도해 주세요.**,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1120,"수 분 내 자동 회복되는 일시 장애로, 코드/설정 문제가 아닙니다.",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1123,⚠️ 일시적인 오류가 발생했습니다. 잠시 후 다시 시도해 주세요.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1125,🔧 기술 세부정보 (관리자용),PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1156,🧠 AI 검토 과정,PORTED,동일 문자열
UI,app.py:1157,AI가 답변을 생성한 검토 단계입니다. 답변 신뢰도 판단에 참고하세요.,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1489,사번 (선택),PORTED,동일 문자열
UI,app.py:1491,위 내용을 모두 읽고 베타 참가에 동의합니다.,PORTED,동일 문자열
UI,app.py:1494,동의하고 시작,PORTED,동일 문자열
UI,app.py:1500,"^[가-힣A-Za-z\s]{1,50}$",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1503,성명을 입력해 주세요.,PORTED,동일 문자열
UI,app.py:1505,성명은 한글·영문·공백만 사용해 주세요 (1~50자).,PORTED,동일 문자열
UI,app.py:1507,사번은 숫자 4~12자 (하이픈 허용) 형식이어야 합니다.,PORTED,동일 문자열
UI,app.py:1509,동의 체크박스를 선택해 주세요.,PORTED,동일 문자열
UI,app.py:1524,⚠️ 동의 기록 저장에 실패했습니다. 운영자에게 다음 메시지를 전달해 주세요.\n\n,EXCLUDED,[DECIDED-OUT] ADR-8 안건 등재
UI,app.py:1525,Supabase 콘솔에서 다음을 실행:\n,EXCLUDED,[DECIDED-OUT] 운영자 부팅 진단
UI,app.py:1531,기술 세부정보,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1568,— 답변 커밋 전 중단(=dangling 원인),EXCLUDED,[비표면] 로그/진단
UI,app.py:1576,\u274c 답변 처리 중 오류 (단계 {_ph}): {_det},SEMANTIC,[PORTED-EQUIV] 유사 대응(50%): ]) return # 오류 안내 — 처리 후 rerun(v1 :191
UI,app.py:1583,\u26a0\ufe0f 답변 처리 중 오류가 발생했습니다 (단계 {_ph}): {_det},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1609,[STOP] 사용자 생성 중지 — 진행 질문 취소,EXCLUDED,[비표면] 로그/진단
UI,app.py:1623,[RUN_KILLED] 직전 run phase={_pp} 예외없이 종료 → 외부종료 추정,EXCLUDED,[비표면] 로그/진단
UI,app.py:1624,(인프라/리소스/웹소켓/서버재시작),EXCLUDED,[비표면] 로그/진단
UI,app.py:1639,⚠️ 환경 설정 문제로 앱을 시작할 수 없습니다:\n\n,EXCLUDED,[DECIDED-OUT] 운영자 부팅 진단
UI,app.py:1644,⚙ 환경 설정 정보 (참조),EXCLUDED,[DECIDED-OUT] 운영자 부팅 진단
UI,app.py:1650,Supabase 설정이 없습니다. SUPABASE_URL / SUPABASE_KEY 를 secrets에 추가하세요.,EXCLUDED,[DECIDED-OUT] 운영자 부팅 진단
UI,app.py:1684,질문을 입력하세요…,SEMANTIC,[PORTED-EQUIV] 유사 대응(50%): 질문을 조금 더 구체적으로 바꿔 다시 시도해 주세요.\n\n
UI,app.py:1704,⋯ 이전 {len(_history) - _RENDER_WINDOW}건은 표시 생략 (최근 {_RENDER_WINDOW}건만 표시),SEMANTIC,[PORTED-EQUIV] 유사 대응(67%): ⋯ 이전 {len(_history) - _RENDER_WINDOW}건은 표시 생략
UI,app.py:1837,[AUTO_RESUME] n={_n}/{_CAP} q={str(_inflight)[:40]!r} — 커밋전 중단 자동복구,EXCLUDED,[비표면] 로그/진단
UI,app.py:1849,\u26a0\ufe0f 직전 답변이 **Streamlit rerun 으로 중단**,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1850,({_ab.get('cls')} · 단계 {_ab.get('phase')} · {_n}회 자동재시도 후).\n\n,SEMANTIC,[PORTED-EQUIV] 유사 대응(50%): 정본 파이프라인 1턴 실행 → 히스토리 엔트리 (엔진 무변경 배선). status_
UI,app.py:1851,"rerun 트리거: `{_ab.get('rerun_data','?')}`\n\n다시 시도해 주세요.",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1855,\u26a0\ufe0f 직전 답변이 **LLM 오류로 중단** (단계 {_ab.get('phase')}):\n\n,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1856,`{_ab.get('detail')}`\n\n다시 시도해 주세요.,SEMANTIC,[PORTED-EQUIV] 유사 대응(100%): 다시 시도해 주세요. 계속되면 담당 부서(CSR팀)에
UI,app.py:1860,\u26a0\ufe0f 직전 답변이 **처리 중 오류로 중단** (단계 {_ab.get('phase')}):\n\n,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1865,\u26a0\ufe0f 직전 답변이 단계 **{_ab.get('phase')}** 에서,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1866,**예외 없이 종료** = Streamlit/인프라가 프로세스를 종료(리소스·웹소켓·서버재시작).,PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1867,앱/LLM 코드 오류가 아닙니다.\n\n다시 시도해 주세요.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1871,"\u26a0\ufe0f 직전 답변이 커밋 전 종료 (마지막 단계: {_ph}, 원인 미기록). 다시 시도해 주세요.",PENDING,[표면-실격차아님: E2E 114셀·시각 51클래스·매트릭스 누락0으로 커버]
UI,app.py:1874,\U0001f504 이 질문 다시 실행,SEMANTIC,[PORTED-EQUIV] 유사 대응(67%): ]) return # 중단 복구 배너 (간소안) — [다시 실행]은
UI,app.py:1888,© 2026 신세계디에프 (Shinsegae Duty Free) · 인사담당 CSR팀<br>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1889,본 답변은 사규 해석 보조 도구이며 법적 효력은 없습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,app.py:1890,인사·신고 행정 사항은 인사교육팀에 직접 문의하세요.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/__init__.py:1,DF COMPASS UI 모듈 — app.py 점진 분해.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:10,StructuredAnswer → 카드 렌더용 슬림 dict (raw_json 제외 → session_state 경량). 없으면 None.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:65,"<div class=""nx-vc-head""><span class=""nx-compass""></span><b>DF COMPASS 답변</b></div>",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:86,"<p class=""nx-vc-note"">ℹ️ 사규에서 직접 확인 안 됨 —",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:88,"<p class=""nx-vc-note"">⚠️ 필수 문서 누락 —",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:120,높은 신뢰도,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:120,보통 신뢰도,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:120,낮은 신뢰도,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:161,"<div class=""nx-ach""><span class=""dot""></span><b>DF COMPASS 답변</b><span class=""rule""></span></div>",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:168,인사 챗봇으로 이동,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:191,"<p class=""nx-oos-intro"">요청하신 내용은 사규 챗봇의 범위를 벗어납니다. 아래 담당 창구로 안내드립니다.</p>",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/cards.py:202,""" target=""_blank"" rel=""noopener"">인사 챗봇으로 이동 ↗</a>",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
UI,ui/feedback.py:13,사실과 달라요,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
